"filename", "language", "JavaScript", "Markdown", "JSON with Comments", "JSON", "HTML", "PHP", "JavaScript JSX", "PostCSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\checkbox-list.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\code-editor.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\color-picker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\date-time-picker.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\file-upload.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 3, 117
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\key-value.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\markdown-editor.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\rich-editor.js", "JavaScript", 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 145
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\select.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 12
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\slider.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\tags-input.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\forms\components\textarea.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\notifications\notifications.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\schemas\components\actions.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\schemas\components\tabs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\schemas\components\wizard.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\schemas\schemas.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\support\support.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 11, 47
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\tables\components\columns\checkbox.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\tables\components\columns\select.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 12
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\tables\components\columns\text-input.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\tables\components\columns\toggle.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\tables\tables.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\widgets\components\chart.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 31
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\public\js\filament\widgets\components\stats-overview\stat\chart.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 23
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\rector.php", "PHP", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 4, 56
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\resources\css\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 5, 38
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\resources\views\emails\invoice.blade.php", "PHP", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 6, 78
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\resources\views\welcome.blade.php", "PHP", 0, 0, 0, 0, 0, 270, 0, 0, 0, 0, 0, 8, 278
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\routes\api.php", "PHP", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 9, 53
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\routes\console.php", "PHP", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3, 6
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\routes\web.php", "PHP", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Browser\WelcomeTest.php", "PHP", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Feature\ApiTest.php", "PHP", 0, 0, 0, 0, 0, 225, 0, 0, 0, 0, 6, 50, 281
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Feature\FilamentTest.php", "PHP", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 4, 35, 128
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Feature\MailtrapTest.php", "PHP", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 11, 53
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Pest.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 7, 31
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\TestCase.php", "PHP", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 5, 13
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\ArchTest.php", "PHP", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 4, 15
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\CartServiceCacheTest.php", "PHP", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 12, 38
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\CartServiceTest.php", "PHP", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 1, 25, 83
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\CommentTest.php", "PHP", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 8, 27
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\ExpeditionTest.php", "PHP", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 10, 33
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\ForumTest.php", "PHP", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\InvoiceTest.php", "PHP", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 10, 37
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\PhantomTest.php", "PHP", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 10, 38
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\ProductTest.php", "PHP", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 10, 41
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\ReportTest.php", "PHP", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\ReportVoteTest.php", "PHP", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 8, 27
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\tests\Unit\Models\UserTest.php", "PHP", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-backend\vite.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-frontend\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-frontend\bun.lock", "JSON with Comments", 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 209, 446
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-frontend\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-frontend\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-frontend\package-lock.json", "JSON", 0, 0, 0, 2975, 0, 0, 0, 0, 0, 0, 0, 1, 2976
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-frontend\package.json", "JSON", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\scarl\Documents\GitHub\PhantomLog\phantomlog-frontend\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
